date,Industry,Occupation,Both
1976-03-01,0.43938797974092436,0.5307118129364629,0.43938797974092436
1976-04-01,0.35435112427732657,0.3721528974466195,0.24598498240800346
1976-05-01,0.32903388950933943,0.5226406767790821,0.2012691807969519
1976-06-01,0.38466788487014053,0.45443504573516424,0.3005456524232589
1976-07-01,0.4899205080696467,0.5985053606351697,0.45986433169503166
1976-08-01,0.41382456242449883,0.4517543085484725,0.3423721205413539
1976-09-01,0.4733745389418959,0.6067387570725093,0.4235937894627282
1976-10-01,0.5282886550849727,0.6585208927249531,0.482499488116426
1976-11-01,0.4365844137265898,0.5107796171399884,0.3435907368457951
1976-12-01,0.4602083472653859,0.4793056280618515,0.3709251806348616
1977-03-01,0.4720956345120539,0.5200554876191695,0.38521567964930786
1977-04-01,0.3849447858539641,0.5194465799279222,0.32082716742095696
1978-01-01,0.47087849582467883,0.5238633156405527,0.36889280622298426
1978-02-01,0.3910040941614499,0.4842205750554088,0.3266621082543522
1978-03-01,0.422706259463607,0.492658923739247,0.3304073950178384
1978-04-01,0.4249679591111089,0.5299496082626732,0.337128554871552
1978-05-01,0.4866918625987155,0.5178100998939774,0.38681749341226007
1978-06-01,0.4564425353761395,0.5141809262616136,0.3654563123348075
1978-07-01,0.41448222395185375,0.5547717397299733,0.3322819898387562
1978-08-01,0.45032552704222,0.5006146447722559,0.33491606417869996
1978-09-01,0.40760354345131844,0.527736051523854,0.3583529735392543
1978-10-01,0.4623627994118116,0.5602991685111711,0.361665636602376
1978-11-01,0.5407453664232077,0.5958401567296072,0.43946894851195895
1978-12-01,0.4377700230628977,0.5023813045630727,0.33694765265585563
1979-01-01,0.38988274347018353,0.3922353035214206,0.27291564025089404
1979-02-01,0.4551790953950578,0.592874567513602,0.38852645423954735
1979-03-01,0.539244581223818,0.5754784659092025,0.43733275590212184
1979-04-01,0.3767122354488683,0.5103599963833239,0.3058559190165203
1979-05-01,0.4598850918847201,0.45244022519596283,0.31611157518706434
1979-06-01,0.49343420097919055,0.5830109073510171,0.4045418499079979
1979-07-01,0.42256381557649886,0.5557565901357322,0.3099521567615629
1979-08-01,0.5076289034803524,0.552273644562166,0.40986046777711144
1979-09-01,0.49282097146605874,0.5439759486221721,0.43523004067004595
1979-10-01,0.541848810218291,0.5812807010950226,0.429045111981858
1979-11-01,0.5815355044054726,0.6039716201918858,0.5082626050077833
1979-12-01,0.4524425880280278,0.5432960889707266,0.3647081048929168
1980-01-01,0.5001088406133434,0.5812163261305405,0.4162765179764934
1980-02-01,0.4498409484779038,0.4861464934119001,0.33324593142223935
1980-03-01,0.4163310262241583,0.466961173746724,0.32441161443789573
1980-04-01,0.4403564723682135,0.5486268937155906,0.3795139681152358
1980-05-01,0.43593338570121654,0.5340835618935987,0.36508562748872064
1980-06-01,0.4319827486172369,0.547045086707642,0.345217756757294
1980-07-01,0.39518327280759696,0.5641248750749399,0.31025524370974816
1980-08-01,0.42320383453450616,0.5130825149161188,0.33825036793682367
1980-09-01,0.4321024403531337,0.5622572467675772,0.3454133875956782
1980-10-01,0.5633097960935485,0.6032004657399188,0.45097303891994944
1980-11-01,0.47023069894945674,0.5304563659656575,0.32720739539037963
1980-12-01,0.47350468740152385,0.502163286113217,0.3421908294444141
1981-01-01,0.4468717848616605,0.5170647461363593,0.3665810491155177
1981-02-01,0.5223467756600584,0.6105840016809996,0.4376064531631258
1981-03-01,0.416852379240996,0.47733301962135494,0.29239419330539973
1981-04-01,0.37238755835884063,0.4629323702393892,0.315108293280179
1981-05-01,0.43219403036004667,0.5776169133124096,0.3640474748939379
1981-06-01,0.43485143635435414,0.5142028077622705,0.3478312281637566
1981-07-01,0.4895067824858398,0.5243514016815297,0.39813673055023535
1981-08-01,0.45272277046195086,0.5011481733142572,0.336819825527653
1981-09-01,0.4223960176116281,0.5347676354701109,0.3507877670506389
1981-10-01,0.43100419990661315,0.5087499985128475,0.320885595265207
1981-11-01,0.47074341190288504,0.5244989923635872,0.3716635575576497
1981-12-01,0.48744145324588395,0.5222898699903676,0.38282339617751093
1982-01-01,0.4527381156782763,0.5877800115111662,0.37349706407315647
1982-02-01,0.38884328071408236,0.44517296082249336,0.2698673738227664
1982-03-01,0.3789647512711168,0.4437054718732689,0.26200521439666774
1982-04-01,0.39885225708363636,0.46965308850304,0.2971011047243831
1982-05-01,0.4360588029379049,0.5516153912425195,0.34174385739115115
1982-06-01,0.3581775442885446,0.5215137345527419,0.29066938553635147
1982-07-01,0.47241313574613075,0.4806729975816756,0.3458107558378714
1982-08-01,0.41277099531550715,0.5214421438990497,0.3449551509772219
1982-09-01,0.4699925013113904,0.5694800322478815,0.3915130569888599
1982-10-01,0.445190254448355,0.4811909761066788,0.36467370223989676
1982-11-01,0.46629847261568835,0.4780794032861549,0.3365891100122217
1982-12-01,0.3549884930300054,0.43746375527125847,0.2621377396117435
1983-01-01,0.4193481936054402,0.5317700068359407,0.3343101777456115
1983-02-01,0.4104054063876942,0.5969040825412821,0.3263616279399432
1983-03-01,0.4522244572224966,0.5588247316538087,0.3720793795686073
1983-04-01,0.4300681396728462,0.5426321021388956,0.3549273172500735
1983-05-01,0.3926429157560524,0.5351622134563989,0.30976038035185627
1983-06-01,0.45340701440635867,0.5895749362477232,0.36934271236959765
1983-07-01,0.37868620863742375,0.5176598756196223,0.3002121422965436
1983-08-01,0.3937547931532705,0.6188513302816735,0.3569171477895301
1983-09-01,0.44952903730803545,0.6006954652984177,0.3760487314910393
1983-10-01,0.5342451614185314,0.5489906373688422,0.41776721381948023
