date,Industry,Occupation,Both
1976-02-01,0.507503494064114,0.5360245415680823,0.40134483127113657
1976-03-01,0.517592436708482,0.5868743976833257,0.42925058268109023
1976-04-01,0.4768247508594049,0.5866512726136325,0.43095246362720935
1976-05-01,0.5951034206180357,0.5875561876732635,0.48726905049236297
1976-06-01,0.5850631606095512,0.6273341087977549,0.4704145012662374
1976-07-01,0.5362176346586,0.5941087854094019,0.47037123787572194
1976-08-01,0.5019982974357845,0.5680069088045203,0.4353888341351762
1976-09-01,0.5254777796319838,0.6206788314103775,0.4601919396853101
1976-10-01,0.6633742182981491,0.6990510568789762,0.5811081753361769
1976-11-01,0.60878106973586,0.6140186340215984,0.4997166061846164
1976-12-01,0.6658394166480001,0.724923099674193,0.5767301680110178
1977-03-01,0.5607945611944629,0.6264445759401487,0.4380671683578432
1977-04-01,0.6134933236387552,0.6226656901588242,0.48003221238207394
1977-06-01,0.6465949106039399,0.6352488843074141,0.5207959846944293
1978-01-01,0.6458997408632299,0.6546367120310377,0.5534200719299135
1978-02-01,0.559017625056637,0.6039804036430003,0.48280309737620497
1978-03-01,0.5702994239429229,0.6644103301768529,0.46837332955870764
1978-04-01,0.5765174902092207,0.5886574655899495,0.49804597960424396
1978-05-01,0.6130808166309094,0.5622151375388077,0.4966851262182495
1978-06-01,0.5980748546408373,0.6435694965831172,0.5336072720694914
1978-07-01,0.5161792390842239,0.6748638139840424,0.47783743483678326
1978-08-01,0.4687827248475162,0.5437277373219664,0.40683786846276565
1978-09-01,0.5401144837993139,0.5698079186310094,0.4467188859173539
1978-10-01,0.6416999986595163,0.6559577523316893,0.5237748457965031
1978-11-01,0.6977802082561755,0.7046940389939401,0.6199892364255308
1978-12-01,0.5604872933485798,0.6538012934448844,0.5146167367873525
1979-01-01,0.6213869289586597,0.5747067790114875,0.4889485037213379
1979-02-01,0.5448691691985466,0.5589026280174061,0.45315146276952717
1979-03-01,0.6273430038883168,0.7205428213257768,0.5380262748421483
1979-04-01,0.6937605750215288,0.7488765594775995,0.602650462812707
1979-05-01,0.5483942119734029,0.6597604146701337,0.4719765470345285
1979-06-01,0.5830234229663259,0.5781273243277525,0.4860807249328565
1979-07-01,0.5475541839670076,0.6447058163609944,0.4761338125970488
1979-08-01,0.5922984827791056,0.6043292220350798,0.4651430993688193
1979-09-01,0.6143198695983714,0.6502981668645278,0.5420057159967354
1979-10-01,0.5981487178587995,0.6116819998263979,0.49183765915999494
1979-11-01,0.7015568743338229,0.7360264745538763,0.6140072717683348
1979-12-01,0.6595926737452599,0.6711065166193235,0.5735270508991395
1980-01-01,0.5491613175232004,0.5468314127810475,0.4044094361414942
1980-02-01,0.650345788409208,0.6122117762194429,0.5113265470618578
1980-03-01,0.5501670765228309,0.5810064529947134,0.464463159733679
1980-04-01,0.6112657885077908,0.6497474975966082,0.5485703506916478
1980-05-01,0.6345561548729053,0.6787609262506993,0.5410653689141841
1980-06-01,0.6088765908247622,0.6346415894463068,0.518741762652709
1980-07-01,0.5614300038271743,0.6496649698518276,0.5151826520895381
1980-08-01,0.5453661276076789,0.5714901167603422,0.4399972947411349
1980-09-01,0.5022154978197271,0.6142330389735232,0.4217068976253252
1980-10-01,0.6887641394215439,0.6782673574245576,0.6027919159629843
1980-11-01,0.597294951928604,0.6614704921265192,0.49906577967352284
1980-12-01,0.6530176642014665,0.6335296609218375,0.5014286682777364
1981-01-01,0.572313112426901,0.5681104240459828,0.4847543620622946
1981-02-01,0.6036377911448007,0.6221499851203254,0.50190564128969
1981-03-01,0.5933752708655862,0.6150603390082774,0.4846212730711849
1981-04-01,0.598357710443729,0.6155597924578174,0.5126394754840717
1981-05-01,0.5956839818633355,0.6767647270717941,0.5255249429102818
1981-06-01,0.6015848065389592,0.6545445646106133,0.5345999397047116
1981-07-01,0.6183010661805851,0.6636878818915234,0.5374101880811891
1981-08-01,0.5775904502178791,0.6388908857538186,0.4866195720170766
1981-09-01,0.5894360086755356,0.6367087399424564,0.5036800265836706
1981-10-01,0.6265636905796669,0.6869986036300276,0.5382887233090805
1981-11-01,0.607970331107181,0.6550765060817286,0.5263978563238527
1981-12-01,0.639223790233563,0.6134018589026354,0.5121050569128626
1982-01-01,0.5999941837492588,0.6084828972705115,0.48008884082002223
1982-02-01,0.5329168446226081,0.5289944577728227,0.3975813427756706
1982-03-01,0.596462084981895,0.6700418676193268,0.5011041004030605
1982-04-01,0.5069403963431415,0.5496563377540445,0.39991061241404563
1982-05-01,0.5440059873582818,0.6376345202797928,0.45460103327858487
1982-06-01,0.5231382619052983,0.5637922089524114,0.4347515504202549
1982-07-01,0.5586512935519756,0.5624377440214897,0.427647535224317
1982-08-01,0.5181936693234838,0.6077660619130715,0.45813439281821683
1982-09-01,0.5302243873606768,0.6238393705806622,0.4720362899834375
1982-10-01,0.6248601620130312,0.6104579121194503,0.5239813529121886
1982-11-01,0.6438085876152575,0.6282043080898826,0.518896986319844
1982-12-01,0.525589899879063,0.5472512488459775,0.41615268731105737
1983-01-01,0.569873642011632,0.6393792198681749,0.47131864489605857
1983-02-01,0.5477915542381182,0.6290502956870461,0.48249291447346554
1983-03-01,0.6482454332685165,0.586617470004507,0.4888109811628755
1983-04-01,0.6078532188793998,0.6243350557636035,0.5207846436695646
1983-05-01,0.6135526422530453,0.6324902082697822,0.49547568305965384
1983-06-01,0.6027416387089122,0.6285433819146343,0.4888312497943802
1983-07-01,0.5462750222290463,0.5833434751062997,0.47288503130944654
1983-08-01,0.5552216135320827,0.5688510771037244,0.42585376810110936
