SEX,has_child,MARST,College/BA,Less than college,More than BA,Some college
1,0,married,28.53658854865056,27.728547047969517,27.53972012849149,27.857757880637383
1,0,single,26.81450024991257,26.710714274593286,26.11247138000909,26.071323093886487
1,1,married,29.94286387117171,28.508046438542944,28.86318045991995,28.732177774450268
1,1,single,28.4969986041346,27.440753252198736,28.109670485980132,27.394376680082754
2,0,married,26.279063698655225,22.852977197619143,26.866324491189285,24.508201408465876
2,0,single,26.610004011729277,24.19158558371695,26.66377948517243,25.12193772138746
2,1,married,24.877930570560153,22.13053632550043,25.572237569871266,23.558254695279444
2,1,single,26.919842620596082,23.82370088109747,27.14685211388146,25.094531522579658
