SEX,MARST,College/BA,Less than college,More than BA,Some college
1,married,29.53954582455165,28.31563892878856,28.509616001762836,28.486393440377242
1,single,26.985904104292448,26.918011970823066,26.321074830718732,26.312108903647115
2,married,25.34007129921877,22.39634710389168,26.004189671851954,23.846065157074378
2,single,26.693738917008968,24.040448015033363,26.783194343959504,25.10854603580518
